x-axis,1,REF2
second,Volt,Volt
+1.27627500E-03,-5.34802647E-03,-5.51598091E-03
+1.27630000E-03,-5.16831696E-03,-5.26067834E-03
+1.27632500E-03,-4.94339296E-03,-5.04477438E-03
+1.27635000E-03,-4.73986820E-03,-4.84446223E-03
+1.27637500E-03,-4.30991369E-03,-4.58467406E-03
+1.27640000E-03,-4.12703468E-03,-4.35031936E-03
+1.27642500E-03,-3.84589250E-03,-4.06998945E-03
+1.27645000E-03,-3.50670285E-03,-3.68096464E-03
+1.27647500E-03,-3.27518508E-03,-3.31590372E-03
+1.27650000E-03,-3.02142926E-03,-3.03379489E-03
+1.27652500E-03,-2.59367519E-03,-2.82922659E-03
+1.27655000E-03,-2.36437866E-03,-2.53872155E-03
+1.27657500E-03,-2.12590831E-03,-2.31923020E-03
+1.27660000E-03,-1.88717324E-03,-1.95585625E-03
+1.27662500E-03,-1.68185689E-03,-1.73977319E-03
+1.27665000E-03,-1.34240734E-03,-1.59740599E-03
+1.27667500E-03,-1.25559229E-03,-1.49183415E-03
+1.27670000E-03,-1.27562597E-03,-1.29055144E-03
+1.27672500E-03,-1.08420332E-03,-1.04706785E-03
+1.27675000E-03,-938.90933E-06,-1.04908919E-03
+1.27677500E-03,-997.64756E-06,-1.15566747E-03
+1.27680000E-03,-1.13088014E-03,-1.21482631E-03
+1.27682500E-03,-1.21978920E-03,-1.21215340E-03
+1.27685000E-03,-1.24918696E-03,-1.22973519E-03
+1.27687500E-03,-1.29933932E-03,-1.45619600E-03
+1.27690000E-03,-1.55151099E-03,-1.71681876E-03
+1.27692500E-03,-1.73087104E-03,-1.85421764E-03
+1.27695000E-03,-2.04973544E-03,-2.00359138E-03
+1.27697500E-03,-2.29297963E-03,-2.35485479E-03
+1.27700000E-03,-2.49785878E-03,-2.53679519E-03
+1.27702500E-03,-2.78993169E-03,-2.80662161E-03
+1.27705000E-03,-3.10273810E-03,-3.25254512E-03
+1.27707500E-03,-3.31791783E-03,-3.49420969E-03
+1.27710000E-03,-3.65842026E-03,-3.79668297E-03
+1.27712500E-03,-3.98985892E-03,-4.18654297E-03
+1.27715000E-03,-4.35488727E-03,-4.48295555E-03
+1.27717500E-03,-4.53936489E-03,-4.69891257E-03
+1.27720000E-03,-4.77464192E-03,-4.92834870E-03
+1.27722500E-03,-5.03502407E-03,-5.12009729E-03
+1.27725000E-03,-5.25128803E-03,-5.42298395E-03
+1.27727500E-03,-5.51024253E-03,-5.58036737E-03
+1.27730000E-03,-5.65974833E-03,-5.75370923E-03
+1.27732500E-03,-5.67464727E-03,-5.89122118E-03
+1.27735000E-03,-5.83788998E-03,-5.97741995E-03
+1.27737500E-03,-5.80933947E-03,-6.06267196E-03
+1.27740000E-03,-5.80506734E-03,-6.02919505E-03
+1.27742500E-03,-5.67474646E-03,-6.04750077E-03
+1.27745000E-03,-5.66653869E-03,-5.88175671E-03
+1.27747500E-03,-5.62223899E-03,-5.70909686E-03
+1.27750000E-03,-5.54742805E-03,-5.58452070E-03
+1.27752500E-03,-5.34066504E-03,-5.41775180E-03
+1.27755000E-03,-5.11360543E-03,-5.28490515E-03
+1.27757500E-03,-4.80937705E-03,-5.04171463E-03
+1.27760000E-03,-4.51947231E-03,-4.66809891E-03
+1.27762500E-03,-4.30505059E-03,-4.33661833E-03
+1.27765000E-03,-4.02608834E-03,-4.00513927E-03
+1.27767500E-03,-3.66765286E-03,-3.86620599E-03
+1.27770000E-03,-3.32778994E-03,-3.42260442E-03
+1.27772500E-03,-3.15052027E-03,-3.13534817E-03
+1.27775000E-03,-2.78417160E-03,-2.79973175E-03
+1.27777500E-03,-2.47704900E-03,-2.52907466E-03
+1.27780000E-03,-2.08808932E-03,-2.22632881E-03
+1.27782500E-03,-1.83230764E-03,-2.02230053E-03
+1.27785000E-03,-1.68027636E-03,-1.80976688E-03
+1.27787500E-03,-1.39485270E-03,-1.53190213E-03
+1.27790000E-03,-1.14462911E-03,-1.36228515E-03
+1.27792500E-03,-951.17335E-06,-1.21053609E-03
+1.27795000E-03,-946.98534E-06,-1.05939247E-03
+1.27797500E-03,-937.94419E-06,-989.61406E-06
+1.27800000E-03,-921.10895E-06,-910.99924E-06
+1.27802500E-03,-905.49393E-06,-916.81240E-06
